Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Owner_Type,Kilometers_Driven,Engine_CC,Mileage_Kmpl,Seats,Location,Insurance_Valid,Price_INR
1,Hyundai,i20,2018,Petrol,Manual,Second,182392,998,21.4,4,Delhi,Yes,698203
2,Mahindra,Thar,2010,Diesel,Automatic,First,159472,1497,25.0,4,Bengaluru,No,457467
3,Honda,Amaze,2016,Electric,Automatic,First,104595,998,17.7,5,Hyderabad,No,655636
4,Renault,Triber,2013,Electric,Automatic,First,81854,1498,21.2,7,Mumbai,Yes,769881
5,Mahindra,Scorpio,2012,CNG,Manual,First,123858,1498,14.6,5,Chandigarh,No,685107
6,Hyundai,Grand i10,2015,Petrol,Manual,First,104471,1497,27.8,7,Lucknow,Yes,838741
7,Toyota,Innova,2017,Diesel,Automatic,First,22350,1248,26.6,7,Pune,Yes,989759
8,Renault,Kiger,2024,Petrol,Manual,First,152159,1497,24.0,5,Hyderabad,No,1101944
9,Mahindra,XUV700,2025,Petrol,Manual,Second,45066,1197,24.7,5,Hyderabad,Yes,1245424
10,Kia,Carens,2024,Petrol,Manual,First,35029,1497,24.3,5,Mumbai,No,1261576
11,Tata,Harrier,2010,Electric,Automatic,Third,204743,1197,20.1,4,Ludhiana,Yes,318013
12,Toyota,Glanza,2010,Diesel,Automatic,First,248557,1498,26.1,5,Chandigarh,Yes,324634
13,Hyundai,i20,2025,Diesel,Manual,First,129592,1197,16.2,7,Jaipur,Yes,1184502
14,Mahindra,Scorpio,2022,Electric,Automatic,First,140679,2184,13.9,4,Mumbai,No,1018779
15,Mahindra,Thar,2017,Petrol,Manual,First,242350,796,25.8,4,Lucknow,Yes,572701
16,Renault,Kwid,2014,Diesel,Automatic,First,128987,1997,15.0,4,Jaipur,No,755893
17,Kia,Sonet,2011,Diesel,Manual,First,195896,1498,24.8,4,Chandigarh,Yes,419546
18,Renault,Kwid,2023,Petrol,Automatic,First,247028,998,19.1,7,Mumbai,Yes,959281
19,Maruti,Swift,2017,Petrol,Automatic,First,231662,1997,26.4,4,Jaipur,Yes,758991
20,Honda,WR-V,2019,Petrol,Automatic,First,82780,1248,27.5,7,Lucknow,Yes,1031501
21,Toyota,Innova,2011,Diesel,Manual,First,138124,998,25.6,4,Hyderabad,Yes,556013
22,Mahindra,Bolero,2013,CNG,Manual,First,15418,998,18.7,7,Hyderabad,No,684616
23,Mahindra,Scorpio,2017,Petrol,Manual,First,83642,2184,17.1,4,Delhi,No,1019542
24,Hyundai,i20,2016,Petrol,Manual,Second,235913,998,26.1,5,Ludhiana,Yes,601531
25,Honda,City,2019,CNG,Manual,Second,40203,1497,13.8,4,Lucknow,Yes,987790
26,Honda,Amaze,2020,Petrol,Automatic,First,70829,796,13.5,5,Ludhiana,Yes,841454
27,Toyota,Glanza,2018,Petrol,Automatic,First,117115,796,13.8,7,Bengaluru,Yes,791769
28,Tata,Harrier,2014,Petrol,Automatic,Second,213698,796,26.4,4,Chandigarh,Yes,491796
29,Kia,Carens,2014,CNG,Manual,Second,214685,1197,26.1,4,Bengaluru,No,553946
30,Mahindra,Scorpio,2015,Diesel,Manual,First,15151,2184,15.6,5,Pune,No,908560
31,Mahindra,XUV300,2016,Petrol,Automatic,Second,207722,1497,17.6,7,Jaipur,No,587608
32,Hyundai,Verna,2015,Diesel,Automatic,First,161387,1997,17.5,5,Jaipur,Yes,751951
33,Mahindra,Scorpio,2011,Diesel,Manual,First,216421,1248,17.8,4,Pune,No,488957
34,Hyundai,Verna,2019,Diesel,Automatic,First,82504,1197,15.1,7,Jaipur,Yes,990988
35,Honda,WR-V,2010,Petrol,Manual,First,157039,1498,19.4,5,Chandigarh,No,564240
36,Tata,Nexon,2019,Petrol,Automatic,First,201906,1248,22.8,4,Chandigarh,Yes,698874
37,Maruti,Baleno,2025,Diesel,Manual,First,237295,1248,23.5,5,Ahmedabad,No,983965
38,Tata,Nexon,2013,Diesel,Manual,First,187429,2184,12.8,4,Mumbai,No,587119
39,Renault,Triber,2020,Electric,Automatic,First,193553,1997,25.3,7,Ahmedabad,Yes,1032320
40,Renault,Kiger,2018,Diesel,Automatic,Second,141655,2184,22.0,5,Ahmedabad,Yes,1019145
41,Honda,Amaze,2018,Petrol,Manual,First,65623,1997,23.1,7,Chandigarh,Yes,1009647
42,Kia,Sonet,2024,Petrol,Manual,Second,107099,796,25.7,7,Jaipur,No,978546
43,Toyota,Fortuner,2022,CNG,Automatic,First,197579,1248,19.8,5,Jaipur,No,840273
44,Kia,Sonet,2022,Diesel,Automatic,Second,168120,796,26.5,7,Hyderabad,Yes,835782
45,Kia,Seltos,2024,Petrol,Automatic,First,60485,2184,17.2,5,Ludhiana,No,1265629
46,Hyundai,Venue,2010,Diesel,Manual,Third,96740,1248,22.4,7,Delhi,Yes,478495
47,Mahindra,XUV300,2014,Petrol,Automatic,First,152841,1248,19.4,5,Pune,Yes,685181
48,Hyundai,Creta,2019,Petrol,Manual,Second,155941,1997,18.3,7,Chandigarh,Yes,992724
49,Mahindra,XUV300,2019,CNG,Manual,Second,153355,796,17.6,5,Pune,Yes,829128
50,Toyota,Innova,2023,Diesel,Manual,First,99945,2184,23.3,5,Bengaluru,No,1268603
51,Renault,Kiger,2023,Diesel,Automatic,First,69355,998,16.5,5,Chandigarh,No,1150916
52,Kia,Sonet,2010,Petrol,Automatic,First,60605,1498,24.8,5,Ludhiana,No,632731
53,Maruti,Brezza,2016,Petrol,Automatic,First,203748,1248,23.0,7,Ahmedabad,No,559782
54,Hyundai,Verna,2017,Petrol,Manual,First,157451,1498,19.6,7,Pune,No,881360
55,Toyota,Fortuner,2024,Petrol,Automatic,First,194080,1248,17.0,7,Lucknow,Yes,977075
56,Mahindra,Bolero,2018,Diesel,Automatic,Third,223268,1248,16.7,5,Bengaluru,No,625546
57,Tata,Altroz,2011,Electric,Automatic,First,38103,2184,13.6,4,Hyderabad,No,764405
58,Renault,Kiger,2020,Petrol,Manual,First,230895,2184,13.8,4,Jaipur,No,834426
59,Maruti,Baleno,2014,Diesel,Automatic,First,70061,998,20.9,5,Hyderabad,Yes,732675
60,Kia,Sonet,2024,Petrol,Automatic,First,167798,796,21.8,7,Mumbai,Yes,1068137
61,Mahindra,Scorpio,2012,Petrol,Manual,First,46034,796,18.5,7,Hyderabad,No,586630
62,Maruti,Baleno,2019,Diesel,Automatic,First,66190,1497,24.6,7,Hyderabad,Yes,996659
63,Hyundai,Grand i10,2017,Diesel,Automatic,Second,23719,796,14.7,5,Hyderabad,No,877178
64,Hyundai,Venue,2019,Diesel,Automatic,First,134445,2184,13.3,4,Jaipur,No,1044005
65,Honda,City,2012,Petrol,Manual,Third,181234,1497,21.2,4,Ahmedabad,No,505076
66,Tata,Tiago,2023,Diesel,Automatic,Third,128210,1498,18.5,5,Mumbai,Yes,1077364
67,Kia,Carens,2025,Petrol,Automatic,Second,149204,796,19.3,5,Ludhiana,No,1001863
68,Kia,Carens,2010,Diesel,Automatic,First,54173,1498,22.0,5,Ahmedabad,Yes,548113
69,Honda,Amaze,2019,Petrol,Automatic,First,170156,1248,23.4,5,Lucknow,Yes,875341
70,Kia,Seltos,2017,Electric,Manual,First,35793,1197,20.0,7,Ludhiana,No,904606
71,Renault,Kiger,2017,Petrol,Manual,First,246662,1197,25.8,5,Jaipur,No,675745
72,Honda,City,2019,Diesel,Automatic,Second,122059,2184,17.5,7,Lucknow,No,1019974
73,Toyota,Glanza,2017,Diesel,Manual,Second,112682,796,17.1,5,Jaipur,No,829283
74,Tata,Harrier,2011,Petrol,Automatic,Second,234163,2184,13.6,5,Delhi,Yes,513557
75,Tata,Nexon,2025,Diesel,Automatic,First,186588,1997,22.4,5,Lucknow,No,1153744
76,Renault,Triber,2011,Diesel,Manual,First,246416,1497,28.0,7,Mumbai,No,334746
77,Hyundai,Venue,2015,Diesel,Manual,First,213704,796,16.7,5,Jaipur,Yes,508089
78,Kia,Carens,2015,Petrol,Manual,First,105281,1248,20.0,7,Bengaluru,Yes,749309
79,Honda,WR-V,2018,Diesel,Automatic,Second,182631,1197,13.2,5,Hyderabad,No,831975
80,Kia,Carens,2018,Petrol,Automatic,First,105845,2184,13.7,5,Hyderabad,No,1025749
81,Honda,Jazz,2010,Electric,Automatic,First,153354,796,26.6,7,Ahmedabad,No,351819
82,Toyota,Glanza,2016,Diesel,Manual,First,241821,796,16.9,5,Delhi,No,647317
83,Tata,Nexon,2019,Petrol,Automatic,First,39644,1498,20.5,5,Bengaluru,No,1043500
84,Honda,Jazz,2013,Petrol,Manual,First,64143,1997,27.5,7,Pune,Yes,781103
